requested_accession,resolved_primary_accession,request_url,http_status,retrieved_at_utc,raw_file,sha256,success,error_message
P37231,P37231,https://rest.uniprot.org/uniprotkb/P37231.json,200,2026-09-23T14:44:08.421587+00:00,data/raw/api/uniprot/P37231.json,659c7b652cf61d1b0d4450b6974e8fce84d491f0372a7a2d0001fed7db795cf2,True,
O75469,O75469,https://rest.uniprot.org/uniprotkb/O75469.json,200,2026-09-23T14:44:09.497471+00:00,data/raw/api/uniprot/O75469.json,cafd58940bd7b9ccf6a19818c9687fb4fd310632c264247f0a4cee1ed273b22c,True,
P20393,P20393,https://rest.uniprot.org/uniprotkb/P20393.json,200,2026-09-23T14:44:10.374090+00:00,data/raw/api/uniprot/P20393.json,c07f1175e8856b9ac3768e6e5bdbdb3731ad17941cb2757eb8de25f9094237a4,True,
Q14995,Q14995,https://rest.uniprot.org/uniprotkb/Q14995.json,200,2026-09-23T14:44:11.378696+00:00,data/raw/api/uniprot/Q14995.json,e7ae4d442e91a71a226264c84dd65da09c26752cbd03a6cf248f24bde013a7f1,True,
P35398,P35398,https://rest.uniprot.org/uniprotkb/P35398.json,200,2026-09-23T14:44:12.379656+00:00,data/raw/api/uniprot/P35398.json,445e84e0cca44eadd968100a2fa8f02bbd09449c283d021fe5608503c72e3fa1,True,
Q92753,Q92753,https://rest.uniprot.org/uniprotkb/Q92753.json,200,2026-09-23T14:44:13.555340+00:00,data/raw/api/uniprot/Q92753.json,9940c7b9a4a7a95bae9c84c3bb18706224ceb9023f75ea0d8977b238f3aa25c7,True,
P51449,P51449,https://rest.uniprot.org/uniprotkb/P51449.json,200,2026-09-23T14:44:14.390193+00:00,data/raw/api/uniprot/P51449.json,b87ebf6754a05fda94ee0776c631ca2d8dd67bf10042cd096312586722623972,True,
P19793,P19793,https://rest.uniprot.org/uniprotkb/P19793.json,200,2026-09-23T14:44:15.445349+00:00,data/raw/api/uniprot/P19793.json,9849f71a035964d8383634f47c2eddc85dab60eada733dad2fa7f504a738a46c,True,
P28702,P28702,https://rest.uniprot.org/uniprotkb/P28702.json,200,2026-09-23T14:44:16.384829+00:00,data/raw/api/uniprot/P28702.json,bc0295a9a3c2b28adba5c43fa2a8934f80181f6c354ff357d846c81e4e4762c1,True,
P48443,P48443,https://rest.uniprot.org/uniprotkb/P48443.json,200,2026-09-23T14:44:17.327586+00:00,data/raw/api/uniprot/P48443.json,b3371ec0ceaaf0dd86c43dd5c56e9101d9c171a7466a7f65a0213efb77104f01,True,
Q13285,Q13285,https://rest.uniprot.org/uniprotkb/Q13285.json,200,2026-09-23T14:44:18.433523+00:00,data/raw/api/uniprot/Q13285.json,a60d7cc4e2001ddb04157fb9751223208fb4332cd76e24db1ef898d868c2e88c,True,
P13056,P13056,https://rest.uniprot.org/uniprotkb/P13056.json,200,2026-09-23T14:44:19.448681+00:00,data/raw/api/uniprot/P13056.json,3ee39119cb5c6419808e4f9fa2fca48e2f9ed89820b69d63b8741235a444a392,True,
P49116,P49116,https://rest.uniprot.org/uniprotkb/P49116.json,200,2026-09-23T14:44:20.399401+00:00,data/raw/api/uniprot/P49116.json,ac1d4b44fb589509c9f0dbf696225d94dea9222ac0bf072b14cc9be139ee84c3,True,
P10589,P10589,https://rest.uniprot.org/uniprotkb/P10589.json,200,2026-09-23T14:44:21.344699+00:00,data/raw/api/uniprot/P10589.json,ad6af3e8dc48b9610dc5498f43cb93eec0d705ba6727a1c61bcc5e78b007ac6a,True,
P24468,P24468,https://rest.uniprot.org/uniprotkb/P24468.json,200,2026-09-23T14:44:22.418838+00:00,data/raw/api/uniprot/P24468.json,ce0cafc9e080fb989f7328e178a95d423fb9503ad89332ca4dde1ec78561ec52,True,
P51843,P51843,https://rest.uniprot.org/uniprotkb/P51843.json,200,2026-09-23T14:44:23.433022+00:00,data/raw/api/uniprot/P51843.json,1bd2829eb00f2e253cb9fc6de591c793c0beb29f2dc2d2aa88e46f832c6892a7,True,
P10588,P10588,https://rest.uniprot.org/uniprotkb/P10588.json,200,2026-09-23T14:44:24.517014+00:00,data/raw/api/uniprot/P10588.json,33cbd1edf1ad191310ae7504d9dc5dc03702c678bbb1b7114befa0b61601b767,True,
Q15406,Q15406,https://rest.uniprot.org/uniprotkb/Q15406.json,200,2026-09-23T14:44:25.515761+00:00,data/raw/api/uniprot/Q15406.json,5f7b65e4aee8859ae899a9dc2385b9d7503990c1f8184c2e75ee52da00441a04,True,
Q92570,Q92570,https://rest.uniprot.org/uniprotkb/Q92570.json,200,2026-09-23T14:44:26.548129+00:00,data/raw/api/uniprot/Q92570.json,12c13ad94c37be99c088d7501e24c296e54afd95ac87c552bdade1b14a883d3d,True,
Q9Y5X4,Q9Y5X4,https://rest.uniprot.org/uniprotkb/Q9Y5X4.json,200,2026-09-23T14:44:27.430672+00:00,data/raw/api/uniprot/Q9Y5X4.json,0f90ae351c860ac860d9c1b65a5224bc80a4a24738f2120e9aa8a9d3f7a937b4,True,
Q15466,Q15466,https://rest.uniprot.org/uniprotkb/Q15466.json,200,2026-09-23T14:44:28.367216+00:00,data/raw/api/uniprot/Q15466.json,029abfdb00c9d0d707344ade0cd318af4b9f19204d9577920206ed05d01a1bf0,True,
Q9Y466,Q9Y466,https://rest.uniprot.org/uniprotkb/Q9Y466.json,200,2026-09-23T14:44:29.372828+00:00,data/raw/api/uniprot/Q9Y466.json,5e8f383ecf4a4cd47d0071c968a0bc70c10de581ac0708049e3ec382f1435584,True,
