uniprot_id,nr_code,common_name,pdb_id,polymer_entity_id,entity_description,source_organism_names,source_taxonomy_ids,host_organism_names,host_taxonomy_ids,all_mapped_uniprot_accessions,expected_uniprot_mapping_confirmed,taxonomy_audit_status,taxonomy_audit_reason,qc_suitability
P10275,NR3C4,AR,3ZQT,3ZQT_1,ANDROGEN RECEPTOR,"[""ESCHERICHIA COLI""]",[469008],"[""ESCHERICHIA COLI""]",[469008],"[""P10275""]",True,EXPLAINED,"Source organism and expression host are the same (['ESCHERICHIA COLI']) — this entity's deposited source is genuinely non-human, not a human protein misattributed to its expression host.",NOT_EVALUATED
P10275,NR3C4,AR,5CJ6,5CJ6_2,small peptide,"[""synthetic construct""]",[32630],[],[],"[""P10275""]",True,EXPLAINED,"Source organism is 'synthetic construct' (taxid 32630) — a chemically/recombinantly synthesized peptide or engineered sequence, not an extant-organism source; its UniProt mapping reflects sequence identity/similarity to the reference accession, not literal biological provenance from that organism.",NOT_EVALUATED
P03372,NR3A1,ERα,3CBM,3CBM_2,Estrogen receptor,"[""synthetic construct""]",[32630],[],[],"[""P03372""]",True,EXPLAINED,"Source organism is 'synthetic construct' (taxid 32630) — a chemically/recombinantly synthesized peptide or engineered sequence, not an extant-organism source; its UniProt mapping reflects sequence identity/similarity to the reference accession, not literal biological provenance from that organism.",NOT_EVALUATED
P03372,NR3A1,ERα,8ARW,8ARW_2,Estrogen receptor,"[""Escherichia coli""]",[562],[],[],"[""P03372""]",True,REVIEW_NEEDED,Source organism ['Escherichia coli'] (taxon [562]) is genuinely non-human and does not match a recognized expression-host artifact pattern; requires manual review.,NOT_EVALUATED
P04150,NR3C1,GR,5CBX,5CBX_1,AncGR DNA Binding Domain,"[""unclassified""]",[32644],"[""Escherichia coli""]",[562],"[""P04150""]",True,REVIEW_NEEDED,Source organism is 'unclassified'/'unidentified' — consistent with a computationally reconstructed ancestral sequence (not an extant organism); entity_description should be manually reviewed to confirm before any downstream use.,NOT_EVALUATED
P04150,NR3C1,GR,5CBY,5CBY_1,AncGR2 DNA Binding Domain,"[""UNCLASSIFIED""]",[32644],"[""Escherichia coli""]",[562],"[""P04150""]",True,REVIEW_NEEDED,Source organism is 'unclassified'/'unidentified' — consistent with a computationally reconstructed ancestral sequence (not an extant organism); entity_description should be manually reviewed to confirm before any downstream use.,NOT_EVALUATED
P04150,NR3C1,GR,5CBZ,5CBZ_1,AncMR DNA Binding Domain,"[""unidentified""]",[32644],"[""Escherichia coli""]",[562],"[""P04150""]",True,REVIEW_NEEDED,Source organism is 'unclassified'/'unidentified' — consistent with a computationally reconstructed ancestral sequence (not an extant organism); entity_description should be manually reviewed to confirm before any downstream use.,NOT_EVALUATED
P06401,NR3C3,PR,5CC0,5CC0_1,AncSR2 DNA Binding Domain,"[""synthetic construct""]",[32630],"[""Escherichia coli""]",[562],"[""P06401""]",True,EXPLAINED,"Source organism is 'synthetic construct' (taxid 32630) — a chemically/recombinantly synthesized peptide or engineered sequence, not an extant-organism source; its UniProt mapping reflects sequence identity/similarity to the reference accession, not literal biological provenance from that organism.",NOT_EVALUATED
P62508,NR3B3,ERRγ,1VJB,1VJB_1,Estrogen-related receptor gamma,"[""Mus musculus""]",[10090],"[""Escherichia coli""]",[562],"[""P62508""]",True,REVIEW_NEEDED,Source organism ['Mus musculus'] (taxon [10090]) is genuinely non-human and does not match a recognized expression-host artifact pattern; requires manual review.,NOT_EVALUATED
