record_index,uniprot_id,nr_code,common_name,group,request_url,request_method,query_return_type,experimental_only,http_status,retrieved_at_utc,result_count_reported,result_count_parsed,raw_response_file,raw_response_sha256,success,error_message
20,Q13133,NR1H3,LXRα,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:06.825187+00:00,7,7,data/raw/api/rcsb/search/Q13133.json,9100cdab0498532ad9650e5ca187cc47ae8e25cb24a8bb9acf92f730955eed09,True,
21,P55055,NR1H2,LXRβ,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:08.090123+00:00,25,25,data/raw/api/rcsb/search/P55055.json,8ee81b948d8abf4647f1ab0f874bbbf5cc9d8ee9c9c49a7e338e57b5e1b3cbd4,True,
22,P22736,NR4A1,NUR77,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:08.899518+00:00,22,22,data/raw/api/rcsb/search/P22736.json,189a6413ee15d4791197186b8477a0a45c2288699acb354d2306c3eefec65d75,True,
23,P43354,NR4A2,NURR1,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:09.776181+00:00,10,10,data/raw/api/rcsb/search/P43354.json,484023949d6175a37d0170860de7053e97d798eeb06b5d8ddbacffd0d984ca08,True,
24,Q07869,NR1C1,PPARα,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:14.253386+00:00,79,79,data/raw/api/rcsb/search/Q07869.json,c46896e804c8c49a92ad17a85c7e5d972908c8c1d3e4fe662125dd42e5f93ffb,True,
25,Q03181,NR1C2,PPARδ,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:15.489929+00:00,56,56,data/raw/api/rcsb/search/Q03181.json,92100dcc2b44307dcf8cc8611fc94aed9fe7c48e41777d820a3792e181d3a831,True,
26,P37231,NR1C3,PPARγ,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:17.354797+00:00,383,383,data/raw/api/rcsb/search/P37231.json,ad2001cd1113e2f7425506c0e80663f394be31480a652bd4e269f676e80bf817,True,
27,O75469,NR1I2,PXR,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:18.175155+00:00,80,80,data/raw/api/rcsb/search/O75469.json,c46a066294767bfbf46c4b631d29b4c2b0a5fd1471fb572866ea47f7e27b27f1,True,
28,P20393,NR1D1,Rev-erbα,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:18.996905+00:00,5,5,data/raw/api/rcsb/search/P20393.json,6f1e34e561d5dc9625b50035c993daab7f78b84e44569591f3121c87e6fba783,True,
29,Q14995,NR1D2,Rev-erbβ,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:20.934591+00:00,6,6,data/raw/api/rcsb/search/Q14995.json,ad5daaf3ace57edbb437234e584a5d19910951a0e2cd7bb07bb1095d06a882e4,True,
30,P35398,NR1F1,RORα,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:22.075820+00:00,3,3,data/raw/api/rcsb/search/P35398.json,df05e8b002c4d94439583afdcc39f6ec278c49f0cd5e3ea107d58efca45cca28,True,
31,Q92753,NR1F2,RORβ,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,204,2026-09-23T16:41:23.852159+00:00,0,0,data/raw/api/rcsb/search/Q92753.json,3d1c6e32f01205b6216e43e6d1afc9329b111422c163c816a123e9b5f354b15e,True,
32,P51449,NR1F3,RORγ,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:27.438205+00:00,165,165,data/raw/api/rcsb/search/P51449.json,6fc6df19202856a78b0b399c50ce182ddb38fbcf5323157b3c8ef62545aa9f27,True,
33,P19793,NR2B1,RXRα,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:30.149833+00:00,111,111,data/raw/api/rcsb/search/P19793.json,1541d5e68617aa10c66d5f4a43a2ad5fe764c867a2d7865e8b0a45e46cf6e92c,True,
34,P28702,NR2B2,RXRβ,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:32.059298+00:00,7,7,data/raw/api/rcsb/search/P28702.json,50dc2be78b8d660c28b11d8d564502556b7856653e6eef68071f7995c85d9fb8,True,
35,P48443,NR2B3,RXRγ,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:33.435720+00:00,2,2,data/raw/api/rcsb/search/P48443.json,604b9e653252763430d0922eeb42d3d041e6164d11c414167b7a1efc3973bded,True,
36,Q13285,NR5A1,SF-1,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:35.536938+00:00,6,6,data/raw/api/rcsb/search/Q13285.json,69ba856fa755d0d5ecbae136eb2dce90db70bf52b28bb045f18ebbb8b43cd792,True,
37,P13056,NR2C1,TR2,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,204,2026-09-23T16:41:36.645591+00:00,0,0,data/raw/api/rcsb/search/P13056.json,04bb379a5c8c99cb68b7042e0d4c60582ea05325cbfb2e6237d71ca7c027b97b,True,
38,P49116,NR2C2,TR4,Nutritional sensors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:37.529069+00:00,5,5,data/raw/api/rcsb/search/P49116.json,348e8b8ad245c2e443d56359d94010eb53b56eb9e52baa060dc0b4be305ccd08,True,
39,P10589,NR2F1,COUP-TFI,Orphan receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:38.297241+00:00,1,1,data/raw/api/rcsb/search/P10589.json,2075af3f82d238df983d8b0792b51fb5c67dc06f88ac2bd26b0eec3e2c4c7c44,True,
40,P24468,NR2F2,COUP-TFII,Orphan receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:39.102336+00:00,1,1,data/raw/api/rcsb/search/P24468.json,b357df3f68392779d59f5e8b6860ae9356702446c70110a3f0807bce70e8ff8f,True,
41,P51843,NR0B1,DAX-1,Orphan receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:39.866437+00:00,1,1,data/raw/api/rcsb/search/P51843.json,32f8b5f77a3411ce1ac1c1fbbabffb4c9366f790579e791b23d5a78684b184d1,True,
42,P10588,NR2F6,EAR-2,Orphan receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:40.680184+00:00,1,1,data/raw/api/rcsb/search/P10588.json,72cc8640bb85fa50da6e084fc7dcac75bf045c34e7ca5f19464b4f22d85f8b45,True,
43,Q15406,NR6A1,GCNF,Orphan receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,204,2026-09-23T16:41:41.894099+00:00,0,0,data/raw/api/rcsb/search/Q15406.json,a8db733d8e14a0aec43fc74a17872ae3ec5c1a5a2197d61e436c04caf10df6eb,True,
44,Q92570,NR4A3,NOR-1,Orphan receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:42.841623+00:00,1,1,data/raw/api/rcsb/search/Q92570.json,cfdd3fcb8104643196d585d298d5fd501e1da37041cc3801770221b95ad551e5,True,
45,Q9Y5X4,NR2E3,PNR,Orphan receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:44.884311+00:00,1,1,data/raw/api/rcsb/search/Q9Y5X4.json,84dbfb281d6bb13516ec63b36fb89c7e33d5e70f1bdfbe6a546d31c4bd00f4c6,True,
46,Q15466,NR0B2,SHP,Orphan receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:47.977316+00:00,14,14,data/raw/api/rcsb/search/Q15466.json,c2ea3a3e63dcd8066b5f80ff57ad24a373005b3962687344efeab41563ee699c,True,
47,Q9Y466,NR2E1,TLX,Orphan receptors,https://search.rcsb.org/rcsbsearch/v2/query,POST,polymer_entity,True,200,2026-09-23T16:41:50.530257+00:00,1,1,data/raw/api/rcsb/search/Q9Y466.json,f6fda11760ee4783436d773a4bee7849064fa54cb8d2d0a8741127589f9b8d0a,True,
